,Positions,Heights
0,993,79.820285
1,1487,1.9629899999999978
2,2993,83.52239499999999
3,3993,2.7697299999999956
4,4990,5.651089999999996
5,5104,4.517469999999996
6,5982,1.5291249999999934
7,6488,3.1472200000000043
8,7992,5.891829999999999
9,8299,56.052879999999995
10,8398,85.36778000000001
11,8492,202.74763000000002
12,8768,9.42391
13,10992,26.933265000000006
14,12995,123.33302499999999
15,13090,84.38630500000001
16,13293,177.854465
17,13988,3.218519999999998
18,15987,1.789905000000001
19,16487,3.5178549999999973
20,18493,19.484695000000002
